Entity,region,ImagePath,Color
Northern Mariana Islands,Oceania,C:/Users/Lifeng Liu/Desktop/bar_chart_race_python_project/flag/Northern Mariana Islands.png,
Norway,Europe,C:/Users/Lifeng Liu/Desktop/bar_chart_race_python_project/flag/Norway.png,
Oman,Asia,C:/Users/Lifeng Liu/Desktop/bar_chart_race_python_project/flag/Oman.png,
Pakistan,Asia,C:/Users/Lifeng Liu/Desktop/bar_chart_race_python_project/flag/Pakistan.png,
Palestine,Asia,C:/Users/Lifeng Liu/Desktop/bar_chart_race_python_project/flag/Palestine.png,
Panama,Americas,C:/Users/Lifeng Liu/Desktop/bar_chart_race_python_project/flag/Panama.png,
Papua New Guinea,Oceania,C:/Users/Lifeng Liu/Desktop/bar_chart_race_python_project/flag/Papua New Guinea.png,
Paraguay,Americas,C:/Users/Lifeng Liu/Desktop/bar_chart_race_python_project/flag/Paraguay.png,
Peru,Americas,C:/Users/Lifeng Liu/Desktop/bar_chart_race_python_project/flag/Peru.png,
Philippines,Asia,C:/Users/Lifeng Liu/Desktop/bar_chart_race_python_project/flag/Philippines.png,
Poland,Europe,C:/Users/Lifeng Liu/Desktop/bar_chart_race_python_project/flag/Poland.png,
Portugal,Europe,C:/Users/Lifeng Liu/Desktop/bar_chart_race_python_project/flag/Portugal.png,
Puerto Rico,Americas,C:/Users/Lifeng Liu/Desktop/bar_chart_race_python_project/flag/Puerto Rico.png,
Qatar,Asia,C:/Users/Lifeng Liu/Desktop/bar_chart_race_python_project/flag/Qatar.png,
Romania,Europe,C:/Users/Lifeng Liu/Desktop/bar_chart_race_python_project/flag/Romania.png,
Russia,Europe,C:/Users/Lifeng Liu/Desktop/bar_chart_race_python_project/flag/Russia.png,
Rwanda,Africa,C:/Users/Lifeng Liu/Desktop/bar_chart_race_python_project/flag/Rwanda.png,
Saint Barthlemy,Americas,C:/Users/Lifeng Liu/Desktop/bar_chart_race_python_project/flag/Saint Barthlemy.png,
Saint Kitts and Nevis,Americas,C:/Users/Lifeng Liu/Desktop/bar_chart_race_python_project/flag/Saint Kitts and Nevis.png,
Saint Lucia,Americas,C:/Users/Lifeng Liu/Desktop/bar_chart_race_python_project/flag/Saint Lucia.png,
Saint Vincent and the Grenadines,Americas,C:/Users/Lifeng Liu/Desktop/bar_chart_race_python_project/flag/Saint Vincent and the Grenadines.png,
San Marino,Europe,C:/Users/Lifeng Liu/Desktop/bar_chart_race_python_project/flag/San Marino.png,
Saudi Arabia,Asia,C:/Users/Lifeng Liu/Desktop/bar_chart_race_python_project/flag/Saudi Arabia.png,
Senegal,Africa,C:/Users/Lifeng Liu/Desktop/bar_chart_race_python_project/flag/Senegal.png,
Serbia,Europe,C:/Users/Lifeng Liu/Desktop/bar_chart_race_python_project/flag/Serbia.png,
Seychelles,Africa,C:/Users/Lifeng Liu/Desktop/bar_chart_race_python_project/flag/Seychelles.png,
Sierra Leone,Africa,C:/Users/Lifeng Liu/Desktop/bar_chart_race_python_project/flag/Sierra Leone.png,
Singapore,Asia,C:/Users/Lifeng Liu/Desktop/bar_chart_race_python_project/flag/Singapore.png,
Sint Maarten (Dutch part),Americas,C:/Users/Lifeng Liu/Desktop/bar_chart_race_python_project/flag/Sint Maarten (Dutch part).png,
Slovakia,Europe,C:/Users/Lifeng Liu/Desktop/bar_chart_race_python_project/flag/Slovakia.png,
Slovenia,Europe,C:/Users/Lifeng Liu/Desktop/bar_chart_race_python_project/flag/Slovenia.png,
Somalia,Africa,C:/Users/Lifeng Liu/Desktop/bar_chart_race_python_project/flag/Somalia.png,
South Africa,Africa,C:/Users/Lifeng Liu/Desktop/bar_chart_race_python_project/flag/South Africa.png,
South Korea,Asia,C:/Users/Lifeng Liu/Desktop/bar_chart_race_python_project/flag/South Korea.png,
South Sudan,Africa,C:/Users/Lifeng Liu/Desktop/bar_chart_race_python_project/flag/South Sudan.png,
Spain,Europe,C:/Users/Lifeng Liu/Desktop/bar_chart_race_python_project/flag/Spain.png,
Sri Lanka,Asia,C:/Users/Lifeng Liu/Desktop/bar_chart_race_python_project/flag/Sri Lanka.png,
Sudan,Africa,C:/Users/Lifeng Liu/Desktop/bar_chart_race_python_project/flag/Sudan.png,
Suriname,Americas,C:/Users/Lifeng Liu/Desktop/bar_chart_race_python_project/flag/Suriname.png,
Swaziland,Africa,C:/Users/Lifeng Liu/Desktop/bar_chart_race_python_project/flag/Swaziland.png,
Sweden,Europe,C:/Users/Lifeng Liu/Desktop/bar_chart_race_python_project/flag/Sweden.png,
Switzerland,Europe,C:/Users/Lifeng Liu/Desktop/bar_chart_race_python_project/flag/Switzerland.png,
Syria,Asia,C:/Users/Lifeng Liu/Desktop/bar_chart_race_python_project/flag/Syria.png,
Taiwan,Asia,C:/Users/Lifeng Liu/Desktop/bar_chart_race_python_project/flag/Taiwan.png,
Tanzania,Africa,C:/Users/Lifeng Liu/Desktop/bar_chart_race_python_project/flag/Tanzania.png,
Thailand,Asia,C:/Users/Lifeng Liu/Desktop/bar_chart_race_python_project/flag/Thailand.png,
Timor,Asia,C:/Users/Lifeng Liu/Desktop/bar_chart_race_python_project/flag/Timor.png,
Togo,Africa,C:/Users/Lifeng Liu/Desktop/bar_chart_race_python_project/flag/Togo.png,
Trinidad and Tobago,Americas,C:/Users/Lifeng Liu/Desktop/bar_chart_race_python_project/flag/Trinidad and Tobago.png,
Tunisia,Africa,C:/Users/Lifeng Liu/Desktop/bar_chart_race_python_project/flag/Tunisia.png,
Turkey,Asia,C:/Users/Lifeng Liu/Desktop/bar_chart_race_python_project/flag/Turkey.png,
Turks and Caicos Islands,Americas,C:/Users/Lifeng Liu/Desktop/bar_chart_race_python_project/flag/Turks and Caicos Islands.png,
Uganda,Africa,C:/Users/Lifeng Liu/Desktop/bar_chart_race_python_project/flag/Uganda.png,
Ukraine,Europe,C:/Users/Lifeng Liu/Desktop/bar_chart_race_python_project/flag/Ukraine.png,
United Arab Emirates,,C:/Users/Lifeng Liu/Desktop/bar_chart_race_python_project/flag/United Arab Emirates.png,
United Kingdom,Europe,C:/Users/Lifeng Liu/Desktop/bar_chart_race_python_project/flag/United Kingdom.png,
United States,Americas,C:/Users/Lifeng Liu/Desktop/bar_chart_race_python_project/flag/United States.png,
United States Virgin Islands,Americas,C:/Users/Lifeng Liu/Desktop/bar_chart_race_python_project/flag/United States Virgin Islands.png,
Uruguay,Americas,C:/Users/Lifeng Liu/Desktop/bar_chart_race_python_project/flag/Uruguay.png,
Uzbekistan,Asia,C:/Users/Lifeng Liu/Desktop/bar_chart_race_python_project/flag/Uzbekistan.png,
Vatican,Europe,C:/Users/Lifeng Liu/Desktop/bar_chart_race_python_project/flag/Vatican.png,
Venezuela,Americas,C:/Users/Lifeng Liu/Desktop/bar_chart_race_python_project/flag/Venezuela.png,
Vietnam,Asia,C:/Users/Lifeng Liu/Desktop/bar_chart_race_python_project/flag/Vietnam.png,
Zambia,Africa,C:/Users/Lifeng Liu/Desktop/bar_chart_race_python_project/flag/Zambia.png,
Zimbabwe,Africa,C:/Users/Lifeng Liu/Desktop/bar_chart_race_python_project/flag/Zimbabwe.png,
West Bank and Gaza,Asia,C:/Users/Lifeng Liu/Desktop/bar_chart_race_python_project/flag/West Bank and Gaza.png,
"Yemen, Rep.",Asia,"C:/Users/Lifeng Liu/Desktop/bar_chart_race_python_project/flag/Yemen, Rep..png",
American Samoa,Oceania,C:/Users/Lifeng Liu/Desktop/bar_chart_race_python_project/flag/American Samoa.png,
Cabo Verde,Africa,C:/Users/Lifeng Liu/Desktop/bar_chart_race_python_project/flag/Cabo Verde.png,
Comoros,Africa,C:/Users/Lifeng Liu/Desktop/bar_chart_race_python_project/flag/Comoros.png,
Eswatini,Africa,C:/Users/Lifeng Liu/Desktop/bar_chart_race_python_project/flag/Eswatini.png,
"Hong Kong SAR, China",Asia,"C:/Users/Lifeng Liu/Desktop/bar_chart_race_python_project/flag/Hong Kong SAR, China.png",
Kiribati,Oceania,C:/Users/Lifeng Liu/Desktop/bar_chart_race_python_project/flag/Kiribati.png,
"Korea, Dem. People of Rep.",Asia,"C:/Users/Lifeng Liu/Desktop/bar_chart_race_python_project/flag/Korea, Dem. People of Rep..png",
Lesotho,Africa,C:/Users/Lifeng Liu/Desktop/bar_chart_race_python_project/flag/Lesotho.png,
"Macao SAR, China",Asia,"C:/Users/Lifeng Liu/Desktop/bar_chart_race_python_project/flag/Macao SAR, China.png",
Malawi,Africa,C:/Users/Lifeng Liu/Desktop/bar_chart_race_python_project/flag/Malawi.png,
Marshall Islands,Oceania,C:/Users/Lifeng Liu/Desktop/bar_chart_race_python_project/flag/Marshall Islands.png,
"Micronesia, Fed. Sts.",Oceania,"C:/Users/Lifeng Liu/Desktop/bar_chart_race_python_project/flag/Micronesia, Fed. Sts..png",
Nauru,Oceania,C:/Users/Lifeng Liu/Desktop/bar_chart_race_python_project/flag/Nauru.png,
Palau,Oceania,C:/Users/Lifeng Liu/Desktop/bar_chart_race_python_project/flag/Palau.png,
Samoa,Oceania,C:/Users/Lifeng Liu/Desktop/bar_chart_race_python_project/flag/Samoa.png,
Sao Tome and Principe,Africa,C:/Users/Lifeng Liu/Desktop/bar_chart_race_python_project/flag/Sao Tome and Principe.png,
Turkmenistan,Asia,C:/Users/Lifeng Liu/Desktop/bar_chart_race_python_project/flag/Turkmenistan.png,
Solomon Islands,Oceania,C:/Users/Lifeng Liu/Desktop/bar_chart_race_python_project/flag/Solomon Islands.png,
Saint Kitts and Nevis,Americas,C:/Users/Lifeng Liu/Desktop/bar_chart_race_python_project/flag/Saint Kitts and Nevis.png,
Saint Lucia,Americas,C:/Users/Lifeng Liu/Desktop/bar_chart_race_python_project/flag/Saint Lucia.png,
Saint Martin (French part),Americas,C:/Users/Lifeng Liu/Desktop/bar_chart_race_python_project/flag/Saint Martin (French part).png,
Saint Vincent and the Grenadines,Americas,C:/Users/Lifeng Liu/Desktop/bar_chart_race_python_project/flag/Saint Vincent and the Grenadines.png,
Tajikistan,Asia,C:/Users/Lifeng Liu/Desktop/bar_chart_race_python_project/flag/Tajikistan.png,
Tonga,Oceania,C:/Users/Lifeng Liu/Desktop/bar_chart_race_python_project/flag/Tonga.png,
Tuvalu,Oceania,C:/Users/Lifeng Liu/Desktop/bar_chart_race_python_project/flag/Tuvalu.png,
UAE,Asia,C:/Users/Lifeng Liu/Desktop/bar_chart_race_python_project/flag/UAE.png,
Vanuatu,Oceania,C:/Users/Lifeng Liu/Desktop/bar_chart_race_python_project/flag/Vanuatu.png,
